article,date,pageview
Nelson Mandela,2014-06-13,7575
Nelson Mandela,2014-06-14,7461
Nelson Mandela,2014-06-15,7104
Nelson Mandela,2014-06-16,8810
Nelson Mandela,2014-06-17,8767
Nelson Mandela,2014-06-18,8994
Nelson Mandela,2014-06-19,8380
Nelson Mandela,2014-06-20,7066
Nelson Mandela,2014-06-21,6000
Nelson Mandela,2014-06-22,6857
Nelson Mandela,2014-06-23,7928
Nelson Mandela,2014-06-24,7739
Nelson Mandela,2014-06-25,8003
Nelson Mandela,2014-06-26,7216
Nelson Mandela,2014-06-27,6168
Nelson Mandela,2014-06-28,5171
Nelson Mandela,2014-06-29,8177
Nelson Mandela,2014-06-30,6998
Nelson Mandela,2014-07-01,6664
Nelson Mandela,2014-07-02,6759
Nelson Mandela,2014-07-03,6943
Nelson Mandela,2014-07-04,6102
Nelson Mandela,2014-07-05,4950
Nelson Mandela,2014-07-06,6757
Nelson Mandela,2014-07-07,7405
Nelson Mandela,2014-07-08,6563
Nelson Mandela,2014-07-09,6221
Nelson Mandela,2014-07-10,6739
Nelson Mandela,2014-07-11,5853
Nelson Mandela,2014-07-12,5390
Nelson Mandela,2014-07-13,6525
Nelson Mandela,2014-07-14,7783
Nelson Mandela,2014-07-15,7451
Nelson Mandela,2014-07-16,7300
Nelson Mandela,2014-07-17,34688
Nelson Mandela,2014-07-18,399983
Nelson Mandela,2014-07-19,33505
Nelson Mandela,2014-07-20,10216
Nelson Mandela,2014-07-21,9574
Nelson Mandela,2014-07-22,10214
Nelson Mandela,2014-07-23,7892
Nelson Mandela,2014-07-24,7195
Nelson Mandela,2014-07-25,5799
Nelson Mandela,2014-07-26,4839
Nelson Mandela,2014-07-27,5658
Nelson Mandela,2014-07-28,6164
Nelson Mandela,2014-07-29,7134
Nelson Mandela,2014-07-30,6598
Nelson Mandela,2014-07-31,6517
Nelson Mandela,2014-08-01,5558
Nelson Mandela,2014-08-02,4960
Nelson Mandela,2014-08-03,6365
Nelson Mandela,2014-08-04,6665
Nelson Mandela,2014-08-05,7428
Nelson Mandela,2014-08-06,7010
Nelson Mandela,2014-08-07,6234
Nelson Mandela,2014-08-08,8082
Nelson Mandela,2014-08-09,7115
Nelson Mandela,2014-08-10,6086
Nelson Mandela,2014-08-11,6959
Nelson Mandela,2014-08-12,7383
Nelson Mandela,2014-08-13,7393
Nelson Mandela,2014-08-14,6573
Nelson Mandela,2014-08-15,5436
Nelson Mandela,2014-08-16,4835
Nelson Mandela,2014-08-17,6218
Nelson Mandela,2014-08-18,7949
Nelson Mandela,2014-08-19,7594
Nelson Mandela,2014-08-20,7247
Nelson Mandela,2014-08-21,7367
Nelson Mandela,2014-08-22,6207
Nelson Mandela,2014-08-23,4872
Nelson Mandela,2014-08-24,6886
Nelson Mandela,2014-08-25,7476
Nelson Mandela,2014-08-26,7128
Nelson Mandela,2014-08-27,6563
Nelson Mandela,2014-08-28,0
Nelson Mandela,2014-08-29,5699
Nelson Mandela,2014-08-30,4567
Nelson Mandela,2014-08-31,6107
Nelson Mandela,2014-09-01,7372
Nelson Mandela,2014-09-02,8152
Nelson Mandela,2014-09-03,8139
Nelson Mandela,2014-09-04,8292
Nelson Mandela,2014-09-05,7006
Nelson Mandela,2014-09-06,5225
Nelson Mandela,2014-09-07,7209
Nelson Mandela,2014-09-08,8293
Nelson Mandela,2014-09-09,8891
Nelson Mandela,2014-09-10,8938
Nelson Mandela,2014-09-11,9325
Nelson Mandela,2014-09-12,7101
Nelson Mandela,2014-09-13,5681
Nelson Mandela,2014-09-14,7566
Nelson Mandela,2014-09-15,8581
Nelson Mandela,2014-09-16,20383
Nelson Mandela,2014-09-17,8567
Nelson Mandela,2014-09-18,8957
Nelson Mandela,2014-09-19,7048
Nelson Mandela,2014-09-20,4986
Nelson Mandela,2014-09-21,6944
Nelson Mandela,2014-09-22,8367
Nelson Mandela,2014-09-23,8825
Nelson Mandela,2014-09-24,8811
Nelson Mandela,2014-09-25,9152
Nelson Mandela,2014-09-26,7012
Nelson Mandela,2014-09-27,5154
Nelson Mandela,2014-09-28,6780
Nelson Mandela,2014-09-29,10514
Nelson Mandela,2014-09-30,8469
Nelson Mandela,2014-10-01,8287
Nelson Mandela,2014-10-02,10218
Nelson Mandela,2014-10-03,7106
Nelson Mandela,2014-10-04,5232
Nelson Mandela,2014-10-05,6391
Nelson Mandela,2014-10-06,9225
Nelson Mandela,2014-10-07,9398
Nelson Mandela,2014-10-08,9189
Nelson Mandela,2014-10-09,9250
Nelson Mandela,2014-10-10,7464
Nelson Mandela,2014-10-11,5713
Nelson Mandela,2014-10-12,7478
Nelson Mandela,2014-10-13,9178
Nelson Mandela,2014-10-14,9909
Nelson Mandela,2014-10-15,9398
Nelson Mandela,2014-10-16,7929
Nelson Mandela,2014-10-17,6933
Nelson Mandela,2014-10-18,4522
Nelson Mandela,2014-10-19,6174
Nelson Mandela,2014-10-20,8268
Nelson Mandela,2014-10-21,9476
Nelson Mandela,2014-10-22,8735
Nelson Mandela,2014-10-23,8577
Nelson Mandela,2014-10-24,6137
Nelson Mandela,2014-10-25,4168
Nelson Mandela,2014-10-26,5309
Nelson Mandela,2014-10-27,7409
Nelson Mandela,2014-10-28,7650
Nelson Mandela,2014-10-29,7368
Nelson Mandela,2014-10-30,7229
Nelson Mandela,2014-10-31,6011
Nelson Mandela,2014-11-01,4930
Nelson Mandela,2014-11-02,6883
Nelson Mandela,2014-11-03,8387
Nelson Mandela,2014-11-04,9245
Nelson Mandela,2014-11-05,8601
Nelson Mandela,2014-11-06,8268
Nelson Mandela,2014-11-07,15556
Nelson Mandela,2014-11-08,7124
Nelson Mandela,2014-11-09,6835
Nelson Mandela,2014-11-10,8846
Nelson Mandela,2014-11-11,8692
Nelson Mandela,2014-11-12,8869
Nelson Mandela,2014-11-13,8538
Nelson Mandela,2014-11-14,7604
Nelson Mandela,2014-11-15,5948
Nelson Mandela,2014-11-16,6379
Nelson Mandela,2014-11-17,8507
Nelson Mandela,2014-11-18,8411
Nelson Mandela,2014-11-19,8298
Nelson Mandela,2014-11-20,8050
Nelson Mandela,2014-11-21,13921
Nelson Mandela,2014-11-22,4414
Nelson Mandela,2014-11-23,5847
Nelson Mandela,2014-11-24,8176
Nelson Mandela,2014-11-25,10638
Nelson Mandela,2014-11-26,7514
Nelson Mandela,2014-11-27,6617
Nelson Mandela,2014-11-28,5278
Nelson Mandela,2014-11-29,4581
Nelson Mandela,2014-11-30,5950
Nelson Mandela,2014-12-01,9021
Nelson Mandela,2014-12-02,21646
Nelson Mandela,2014-12-03,9060
Nelson Mandela,2014-12-04,9771
Nelson Mandela,2014-12-05,14078
Nelson Mandela,2014-12-06,9088
Nelson Mandela,2014-12-07,8348
Nelson Mandela,2014-12-08,9379
Nelson Mandela,2014-12-09,11400
Nelson Mandela,2014-12-10,11766
Nelson Mandela,2014-12-11,9277
Nelson Mandela,2014-12-12,7416
Nelson Mandela,2014-12-13,5595
Nelson Mandela,2014-12-14,6592
Nelson Mandela,2014-12-15,7981
Nelson Mandela,2014-12-16,7379
