article_15,editor,gender,editcount,registration,emailable,rigths
Base_(chemistry),Dirac66,unknown,9982,2006-08-19T22:14:55Z,undefined,45
Base_(chemistry),Jnestorius,unknown,37835,2004-07-29T09:13:05Z,undefined,48
Base_(chemistry),Josve05a,unknown,76177,2010-03-28T19:17:02Z,undefined,53
Bias,Andrewaskew,unknown,3844,2007-02-19T03:17:35Z,undefined,45
Bias,Anthere,unknown,9398,2002-05-31T13:30:06Z,undefined,106
Bias,Cyberbot II,bot,245961,2012-02-12T22:20:29Z,undefined,55
Bias,GrindtXX,male,9401,2010-05-21T21:18:17Z,undefined,45
Bias,Lotje,female,70311,2009-08-29T07:29:41Z,undefined,45
Bias,Rjwilmsi,unknown,786110,2005-03-04T11:57:51Z,no,48
Bias,Srednuas Lenoroc,unknown,17964,2015-05-04T00:30:55Z,no,45
Bicycle,Bumm13,unknown,33439,2004-04-30T08:10:29Z,undefined,106
Bicycle,Callinus,unknown,12309,2007-12-15T02:20:51Z,undefined,45
Bicycle,ClueBot NG,bot,3780245,2010-10-20T17:01:19Z,undefined,56
Bicycle,MusikVarmint,unknown,298,2014-04-29T17:07:03Z,no,51
Bicycle,SterLight,unknown,1,2015-12-16T09:14:39Z,no,31
Bicycle,Wbm1058,male,54293,2011-04-13T15:17:13Z,undefined,106
Biome,Cbdorsett,unknown,6987,2005-01-24T17:20:26Z,undefined,47
Biome,ClueBot NG,bot,3780245,2010-10-20T17:01:19Z,undefined,56
Biome,KylieTastic,unknown,86105,2006-11-18T15:15:09Z,undefined,49
Biome,Rjwilmsi,unknown,786110,2005-03-04T11:57:51Z,no,48
Biome,Wiae,unknown,53449,2007-02-08T14:19:23Z,no,49
Bird_nest,Anthere,unknown,9398,2002-05-31T13:30:06Z,undefined,106
Bird_nest,ClueBot NG,bot,3780245,2010-10-20T17:01:19Z,undefined,56
Bird_nest,Darorcilmir,unknown,11281,2012-01-14T07:39:45Z,undefined,46
Bird_nest,JJMC89,male,27011,2015-04-18T00:41:28Z,undefined,48
Bird_nest,MeegsC,unknown,19348,2007-04-19T18:58:41Z,undefined,49
Bird_nest,Parkywiki,male,2053,2010-01-07T00:12:41Z,undefined,45
Bird_nest,Shyamal,unknown,49606,2002-11-26T12:34:13Z,undefined,106
Boiling,AnomieBOT,bot,2123162,2008-08-07T17:09:33Z,undefined,53
Boiling,Anthere,unknown,9398,2002-05-31T13:30:06Z,undefined,106
Boiling,AvicBot,bot,631857,2010-03-19T00:49:44Z,undefined,53
Boiling,Casliber,male,152523,2006-05-05T10:14:39Z,undefined,115
Boiling,Johnscotaus,unknown,300,2013-02-15T09:35:07Z,undefined,45
Boiling,Trappist the monk,unknown,153866,2009-08-09T16:35:26Z,no,106
Boiling,Truthfulpessimist,unknown,1,2015-04-05T15:57:18Z,no,31
Boiling,TwoTwoHello,unknown,6381,2012-07-06T13:42:55Z,undefined,48
Borehole,Anthere,unknown,9398,2002-05-31T13:30:06Z,undefined,106
Borehole,WhatamIdoing,female,81112,2006-08-14T03:52:08Z,undefined,48
Bullying,Anthere,unknown,9398,2002-05-31T13:30:06Z,undefined,106
Bullying,Cyberbot II,bot,245961,2012-02-12T22:20:29Z,undefined,55
Bullying,Grifter84,male,355,,no,45
Bullying,Josve05a,unknown,76177,2010-03-28T19:17:02Z,undefined,53
Bullying,MurderByDeadcopy,unknown,1210,2015-01-29T09:54:29Z,undefined,45
Bullying,Penbat,unknown,46994,2006-03-31T14:20:14Z,undefined,45
Bullying,Proud User,unknown,1570,2015-08-04T09:57:53Z,no,45
Bullying,Rjwilmsi,unknown,786110,2005-03-04T11:57:51Z,no,48
Bullying,RMS52,male,1946,2015-06-20T07:42:25Z,no,45
Castle_of_Good_Hope,Anthere,unknown,9398,2002-05-31T13:30:06Z,undefined,106
Castle_of_Good_Hope,BG19bot,bot,719814,2011-05-03T06:25:50Z,undefined,53
Castle_of_Good_Hope,Bgwhite,unknown,469092,2005-05-11T07:04:57Z,no,106
Castle_of_Good_Hope,Cydebot,bot,5097255,2006-04-07T01:24:50Z,undefined,108
Castle_of_Good_Hope,Lotje,female,70311,2009-08-29T07:29:41Z,undefined,45
Castle_of_Good_Hope,SpringbokSam,unknown,503,2015-08-17T09:26:53Z,no,45
Cell_(biology),Citation bot,bot,309107,2008-09-21T02:34:54Z,undefined,53
Cell_(biology),DERPALERT,male,442,2015-03-24T19:50:16Z,no,45
Cell_(biology),Iztwoz,female,19184,2012-12-31T13:45:59Z,undefined,45
Cell_(biology),Jcampsall,unknown,56,2009-04-19T14:48:19Z,undefined,45
Cell_(biology),Sunrise,unknown,8136,2007-06-03T20:12:37Z,undefined,45
Ceramic,AlbertBickford,male,1191,2010-11-01T04:54:08Z,undefined,45
Ceramic,Anthere,unknown,9398,2002-05-31T13:30:06Z,undefined,106
Ceramic,Badmonkey717,unknown,70,2014-06-22T03:17:12Z,no,45
Ceramic,ClueBot NG,bot,3780245,2010-10-20T17:01:19Z,undefined,56
Ceramic,DeltaRuby,unknown,4,2015-10-09T20:38:04Z,no,31
Ceramic,Gmcbjames,unknown,5502,2011-06-12T19:47:12Z,undefined,46
Ceramic,Materialscientist,unknown,688119,2008-09-14T01:47:33Z,undefined,109
Child_abuse,Coconutporkpie,unknown,4853,2014-10-13T06:29:12Z,no,45
Child_abuse,Me_ Myself, and I are Here,female,4383,2012-10-02T04:18:36Z,no,45
Child_abuse,Rjwilmsi,unknown,786110,2005-03-04T11:57:51Z,no,48
Children's_Day,Bender235,male,326566,2004-10-02T12:16:43Z,undefined,49
Children's_Day,ClueBot NG,bot,3780245,2010-10-20T17:01:19Z,undefined,56
Children's_Day,Humal,unknown,70,2009-11-03T13:25:02Z,no,45
Circuit_diagram,Ajv39,male,1949,2012-03-14T21:17:14Z,undefined,45
Circuit_diagram,Anthere,unknown,9398,2002-05-31T13:30:06Z,undefined,106
Circuit_diagram,DavidCary,unknown,5209,2004-02-09T19:33:15Z,undefined,45
Circuit_diagram,KasparBot,bot,582452,2015-03-14T06:22:32Z,no,53
